,id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%,SCK,FR,TD,PA,YA
160,WR1,Justin Jefferson,MIN,WR,1,322.0,15.0,,,,,,,4.0,23.0,0.0,164.0,116.0,1498.0,9.0,1%,27%,,,,,
161,WR2,Ja'Marr Chase,CIN,WR,2,313.0,15.0,,,,,,,4.0,21.0,0.0,153.0,102.0,1454.0,11.0,1%,25%,,,,,
162,WR3,Cooper Kupp,LAR,WR,3,311.0,15.0,,,,,,,11.0,67.0,0.0,163.0,122.0,1432.0,6.0,3%,26%,,,,,
163,WR4,Tyreek Hill,MIA,WR,4,294.0,15.0,,,,,,,8.0,49.0,1.0,154.0,104.0,1346.0,8.0,2%,26%,,,,,
164,WR5,Davante Adams,LV,WR,5,288.0,15.0,,,,,,,2.0,12.0,0.0,154.0,96.0,1479.0,7.0,1%,26%,,,,,
165,WR6,Stefon Diggs,BUF,WR,6,264.0,15.0,,,,,,,0.0,0.0,0.0,143.0,98.0,1206.0,8.0,0%,24%,,,,,
166,WR7,CeeDee Lamb,DAL,WR,7,264.0,15.0,,,,,,,10.0,59.0,0.0,140.0,97.0,1211.0,6.0,2%,25%,,,,,
167,WR8,Garrett Wilson,NYJ,WR,8,251.0,15.0,,,,,,,4.0,24.0,0.0,135.0,83.0,1133.0,9.0,1%,24%,,,,,
168,WR9,Amon-Ra St. Brown,DET,WR,9,243.0,15.0,,,,,,,9.0,64.0,1.0,132.0,95.0,1045.0,6.0,2%,23%,,,,,
169,WR10,Jaylen Waddle,MIA,WR,10,231.0,15.0,,,,,,,4.0,25.0,0.0,124.0,83.0,1085.0,6.0,1%,21%,,,,,
170,WR11,Tee Higgins,CIN,WR,11,228.0,15.0,,,,,,,0.0,0.0,0.0,122.0,81.0,1048.0,7.0,0%,20%,,,,,
171,WR12,DK Metcalf,SEA,WR,12,228.0,15.0,,,,,,,0.0,0.0,0.0,123.0,78.0,1017.0,8.0,0%,22%,,,,,
